"","ImmProt_T4.CM_01","ImmProt_T4.CM_02","ImmProt_T4.CM_03","ImmProt_T4.CM_04","ImmProt_T4.CM_01_activated","ImmProt_T4.CM_02_activated","ImmProt_T4.CM_03_activated","ImmProt_T4.CM_04_activated","ImmProt_T4.EM_01","ImmProt_T4.EM_02","ImmProt_T4.EM_03","ImmProt_T4.EM_04","ImmProt_T4.EM_01_activated","ImmProt_T4.EM_02_activated","ImmProt_T4.EM_03_activated","ImmProt_T4.EM_04_activated"
"26",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1594",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10993",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6818",0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
"89874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55293",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"92483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3939",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
"134526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"95",0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0
"8309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"55",0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
"788",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"9194",1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1
"55902",0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
"9123",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"6566",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"57835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65985",0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1
"8671",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"100",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"8050",0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26289",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"137872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50808",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"262",0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
"117247",0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531",0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23498",1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"55268",1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0
"51166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2030",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"883",0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1
"1644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4129",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"9154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64078",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4128",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
"9153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10165",1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
"55315",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8604",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"245972",0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"2572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9114",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"11164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"952",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"51380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2805",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374",0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0
"126129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10312",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"6817",0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"535",1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0
"127124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1376",0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1
"6799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9060",0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0
"8992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9061",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"158",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0
"4363",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"529",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"6822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6573",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"146712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10678",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"6571",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51382",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"2348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90423",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374907",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2352",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"51606",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"11041",0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1
"93010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9296",0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
"79369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4125",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79814",0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
"53947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953",1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0
"206358",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56895",0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
"6540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137964",0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"129642",0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1
"956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"56894",0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1
"10555",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"55326",1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"10554",1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0
"6529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10449",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9197",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
"4126",0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0
"3073",0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0
"3074",0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0
"79611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10606",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84532",0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1
"64841",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"55577",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5238",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"8705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3141",0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0
"54187",0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1
"140679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26503",0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"54",0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0
"8424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51205",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"53630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140838",1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1
"622",0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
"36",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80724",1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0
"635",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27034",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"10599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28976",0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1
"1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0
"3712",0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1
"1607",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
"8714",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"28234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1468",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
"8402",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645",0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1
"9488",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10380",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"686",1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0
"1645",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"2745",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8884",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"80704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7108",0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
"6718",0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"8528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6510",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"50814",0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
"3295",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"6307",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"6509",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"1632",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"56301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492",0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1
"10455",0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0
"490",0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1
"6520",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"1633",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"211",0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0
"493",0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
"6319",0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
"9415",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23464",0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"3992",1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8694",0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0
"847",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84649",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1716",1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
"6546",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"6547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54407",0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1
"6541",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"6543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6515",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"59272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81539",0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
"340024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6513",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"55089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1718",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"2538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92579",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"1373",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"873",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84706",1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"1717",0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
"2875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8560",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"10423",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"123099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92745",0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1
"10991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11309",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8760",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1
"284273",1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"6783",1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1
"1723",0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1
"10327",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10390",0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0
"56994",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64781",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8854",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
"1808",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10087",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
"23539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1
