Recon ID,Plasmax,Plasmax_v2,Plasmax_unconstrained,HPLM,HPLM_v2,HPLM_unconstrained,RPMI-1640,RPMI-1640_v2,RPMI-1640_unconstrained,All_unconstrained
cl[e],5.32025,5.32025,1000,4.78333333,4.78333333,1000,4.53254167,4.53254167,1000,1000
2hb[e],0.00129167,0.00129167,1000,0.00208333,0.00208333,1000,0,0,0,1000
3hmp[e],0.00083333,0.00083333,1000,0,0,0,0,0,0,1000
4hpro_LT[e],0.00054167,0.00054167,1000,0.00083333,0.00083333,1000,0.0063625,0.0063625,1000,1000
5oxpro[e],0.00083333,0.00083333,1000,0,0,0,0,0,0,1000
ac[e],0.00175,0.00175,1000,0.00166667,0.00166667,1000,0,0,0,1000
acetone[e],0.00229167,0.00229167,1000,0.0025,0.0025,1000,0,0,0,1000
acgly[e],0.00291667,0.00291667,1000,0.00375,0.00375,1000,0,0,0,1000
acrn[e],0.00020833,0.00020833,1000,0,0,0,0,0,0,1000
ala_L[e],0.02125,0.02125,1000,0.01791667,0.01791667,1000,0,0,0,1000
arg_L[e],0.00266667,0.00266667,1000,0.00458333,0.00458333,1000,0.047875,0.047875,1000,1000
ascb_L[e],0.00258333,0.00258333,1000,0,0,0,0,0,0,1000
asn_L[e],0.00170833,0.00170833,1000,0.00208333,0.00208333,1000,0.01579167,0.01579167,1000,1000
asp_L[e],0.00025,0.00025,1000,0.00083333,0.00083333,1000,0.00625,0.00625,1000,1000
bhb[e],0.00320833,0.00320833,1000,0.00208333,0.00208333,1000,0,0,0,1000
btn[e],0.00017083,0.00017083,1000,0.000033333,0.000033333,1000,0.000034167,0.000034167,1000,1000
C02356[e],0.00170833,0.00170833,1000,0.00083333,0.00083333,1000,0,0,0,1000
ca2[e],0.075175,0.075175,1000,0.09962708,0.09962708,1000,0.01768833,0.01768833,1000,1000
carn[e],0.00025,0.00025,1000,0,0,0,0,0,0,1000
cbl1[e],0.00000020833,0.00000020833,1000,0.00000015417,0.00000015417,1000,0.00000015417,0.00000015417,1000,1000
CE5643[e],0.000015475,0.000015475,1000,0.00166667,0.00166667,1000,0.01766667,0.01766667,1000,1000
chol[e],0.00029583,0.00029583,1000,0.00089583,0.00089583,1000,0.00089167,0.00089167,1000,1000
cit[e],0.00475,0.00475,1000,0.00541667,0.00541667,1000,0,0,0,1000
citr_L[e],0.00229167,0.00229167,1000,0.00166667,0.00166667,1000,0,0,0,1000
co[e],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Co2[e],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
creat[e],0.00154167,0.00154167,1000,0.00166667,0.00166667,1000,0,0,0,1000
crn[e],0.00191667,0.00191667,1000,0.00166667,0.00166667,1000,0,0,0,1000
crtn[e],0.00308333,0.00308333,1000,0.003125,0.003125,1000,0,0,0,1000
cu2[e],0.00000021667,0.00000021667,1000,0,0,0,0,0,0,1000
cys_L[e],0.001375,0.001375,1000,0.00166667,0.00166667,1000,0,0,0,1000
fe3[e],0.000092492,0.000092492,1000,0,0,0,0,0,0,1000
fol[e],0.000095833,0.000095833,1000,0.000095833,0.000095833,1000,0.000094583,0.000094583,1000,1000
for[e],0.001375,0.001375,1000,0.00208333,0.00208333,1000,0,0,0,1000
fru[e],0,0,0,0.00166667,0.00166667,1000,0,0,0,1000
gal[e],0,0,0,0.0025,0.0025,1000,0,0,0,1000
glc_D[e],0.23166667,0.23166667,1000,0.20833333,0.20833333,1000,0.46295833,0.46295833,1000,1000
gln_L[e],0.02708333,0.02708333,1000,0.02291667,0.02291667,1000,0.085625,0.085625,1000,1000
glu_L[e],0.00408333,0.00408333,1000,0.00333333,0.00333333,1000,0.00566667,0.00566667,1000,1000
gly[e],0.01375,0.01375,1000,0.0125,0.0125,1000,0.00554167,0.00554167,1000,1000
glyb[e],0.003,0.003,1000,0.00291667,0.00291667,1000,0,0,0,1000
glyc[e],0.00341667,0.00341667,1000,0.005,0.005,1000,0,0,0,1000
gthrd[e],0.00154167,0.00154167,1000,0.00104167,0.00104167,1000,0.0001375,0.0001375,1000,1000
h[e],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
h2co3[e],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
h2o[e],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
h2o2[e],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
HC00319[e],0,0,0,0.00041667,0.00041667,1000,0,0,0,1000
hco3[e],1.09129167,1000,1000,1,1000,1000,0.99208333,1000,1000,1000
hcys_L[e],0.000375,0.000375,1000,0,0,0,0,0,0,1000
his_L[e],0.005,0.005,1000,0.00458333,0.00458333,1000,0.00404167,0.00404167,1000,1000
hxan[e],0.00020833,0.00020833,1000,0.00041667,0.00041667,1000,0,0,0,1000
ile_L[e],0.00583333,0.00583333,1000,0.00291667,0.00291667,1000,0.01591667,0.01591667,1000,1000
inost[e],0.0004625,0.0004625,1000,0.00809583,0.00809583,1000,0.0081,0.0081,1000,1000
k[e],0.22208333,0.22208333,1000,0.17083333,0.17083333,1000,0.22220833,0.22220833,1000,1000
lac_D[e],0.02083333,0.02083333,1000,0.06666667,0.06666667,1000,0,0,0,1000
lac_L[e],0.02083333,0.02083333,1000,0.06666667,0.06666667,1000,0,0,0,1000
Lcystin[e],0.00270833,0.00270833,1000,0.00416667,0.00416667,1000,0.00865417,0.00865417,1000,1000
leu_L[e],0.00708333,0.00708333,1000,0.00666667,0.00666667,1000,0.01591667,0.01591667,1000,1000
lys_L[e],0.00916667,0.00916667,1000,0.00833333,0.00833333,1000,0.009125,0.009125,1000,1000
met_L[e],0.00125,0.00125,1000,0.00125,0.00125,1000,0.00420833,0.00420833,1000,1000
mg2[e],0.033875,0.033875,1000,0.03458333,0.03458333,1000,0.01695833,0.01695833,1000,1000
na1[e],6.12154408,6.12154408,1000,5.4475,5.4475,1000,5.77191667,5.77191667,1000,1000
ncam[e],0.00034167,0.00034167,1000,0.00034167,0.00034167,1000,0.00034167,0.00034167,1000,1000
nh4[e],0.00208344,0.00208344,1000,0.00166667,0.00166667,1000,0,0,0,1000
o2[e],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
o2s[e],1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
orn[e],0.00333333,0.00333333,1000,0.00041667,0.00041667,1000,0,0,0,1000
phe_L[e],0.00283333,0.00283333,1000,0.00333333,0.00333333,1000,0.00379167,0.00379167,1000,1000
pi[e],0.04208333,1000,1000,0.03625,1000,1000,0.23475,1000,1000,1000
pnto_R[e],0.00035,0.00035,1000,0.0000875,0.0000875,1000,0.000043333,0.000043333,1000,1000
pro_L[e],0.015,0.015,1000,0.00833333,0.00833333,1000,0.00725,0.00725,1000,1000
pydxn[e],0.00020417,0.00020417,1000,0.00020417,0.00020417,1000,0.00020417,0.00020417,1000,1000
pyr[e],0.00416667,0.00416667,1000,0.00208333,0.00208333,1000,0,0,0,1000
ribflv[e],0.0000125,0.0000125,1000,0.000020833,0.000020833,1000,0.000022083,0.000022083,1000,1000
selni[e],0.0000012042,0.0000012042,1000,0,0,0,0,0,0,1000
ser_L[e],0.00583333,0.00583333,1000,0.00625,0.00625,1000,0.01191667,0.01191667,1000,1000
so4[e],0.03406872,0.03406872,1000,0.01458333,0.01458333,1000,0.01695833,0.01695833,1000,1000
succ[e],0.00095833,0.00095833,1000,0.00083333,0.00083333,1000,0,0,0,1000
taur[e],0.00541667,0.00541667,1000,0.00375,0.00375,1000,0,0,0,1000
thm[e],0.000125,0.000125,1000,0.000125,0.000125,1000,0.000125,0.000125,1000,1000
thr_L[e],0.01,0.01,1000,0.00583333,0.00583333,1000,0.007,0.007,1000,1000
trp_L[e],0.00325,0.00325,1000,0.0025,0.0025,1000,0.00104167,0.00104167,1000,1000
tyr_L[e],0.00308333,0.00308333,1000,0.00333333,0.00333333,1000,0.004625,0.004625,1000,1000
ura[e],0.000083333,0.000083333,1000,0,0,0,0,0,0,1000
urate[e],0.01125,0.01125,1000,0.01458333,0.01458333,1000,0,0,0,1000
urea[e],0.125,0.125,1000,0.20833333,0.20833333,1000,0,0,0,1000
uri[e],0.000125,0.000125,1000,0,0,0,0,0,0,1000
val_L[e],0.00958333,0.00958333,1000,0.00916667,0.00916667,1000,0.007125,0.007125,1000,1000
zn2[e],0.0000625,0.0000625,1000,0,0,0,0,0,0,1000