"","GSM1209577","GSM1209578","GSM1209579","GSM1209580","GSM2257343","GSM2257344","GSM2460435","GSM2460439","GSM2460443","GSM2460447","GSM2460451","GSM2460455","GSM2607426","GSM2607427","GSM2607428","GSM2607429","GSM2607430","GSM2607431"
"314",0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594",1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0
"10993",1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1
"6818",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3948",0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
"55293",1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1
"160287",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"92483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9194",0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0
"6566",0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
"9123",1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0
"57835",1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1
"8671",0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"128",0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1
"137872",1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1312",1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0
"117247",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1
"218",1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
"222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0
"2531",0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0
"23498",1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1
"55268",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0
"883",1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0
"51166",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1644",1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1
"4128",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"4129",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8604",1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0
"10165",0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51380",0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
"2805",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1
"6817",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6799",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6573",1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0
"316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6571",0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1
"2348",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2352",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4125",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53947",1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1
"51146",1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0
"28",1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1
"206358",1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1
"6538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6540",0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0
"38",0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
"9197",0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0
"79611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84532",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"64841",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
"55577",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"5238",0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0
"9487",0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1
"162417",1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
"43",0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1
"6572",1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54187",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
"26503",0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0
"54",0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
"140838",1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
"51205",1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0
"36",0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0
"34",1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0
"35",1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0
"84129",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"28976",0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0
"80724",1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
"27034",0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
"3712",1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
"134526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1
"95",0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0
"8309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788",1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
"55902",1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0
"65985",0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0
"438",0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0
"1571",0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0
"100",1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"3177",0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
"205",0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0
"204",1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0
"26289",0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0
"50808",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"109",0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
"115",1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
"112",1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0
"107",0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
"114",0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
"55811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196883",1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2030",1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
"9154",1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1
"64078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9153",0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
"55315",1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1
"11164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"952",1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0
"1375",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1374",0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1
"126129",1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0
"1376",0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1
"9061",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"9060",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"158",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10331",1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0
"374907",1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1
"10678",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79369",1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"11041",1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
"93010",0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
"79814",1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0
"56894",0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
"10555",1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
"137964",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"56895",1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
"55326",0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0
"129642",1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
"64850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64902",1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3074",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3073",0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1
"10606",0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0
"8402",1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0
"1468",0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0
"64849",1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1
"1645",0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
"1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6510",1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1
"6509",0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0
"56301",1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1
"6520",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"211",1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1
"23464",1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0
"212",1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1
"59272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6541",0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1
"84889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54407",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81539",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"340024",0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1
"11254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2875",1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1
"84706",0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0
"92745",1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0
"10991",0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1
"284273",0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1
"10327",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8854",0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
"224",0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0
"219",1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0
"239",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8574",0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0
"23600",0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1
"115286",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"271",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"272",0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
"278",0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0
"277",0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0
"279",0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0
"280",0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0
"6519",0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
"276",0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0
"11136",1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1
"10998",1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0
"113451",1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
"9057",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"384",1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1
"445",0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0
"83884",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"10166",0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0
"410",0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1
"427",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9963",1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
"9962",0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1
"80150",1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0
"440",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"790",1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0
"6505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6512",1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0
"6511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9296",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"90423",1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1
"528",0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1
"525",1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"127124",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"245973",1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0
"50617",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"9114",1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"23545",0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0
"8992",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"535",1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0
"527",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"526",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"523",1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
"529",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51382",1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
"245972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957",0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0
"956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955",0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
"953",0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0
"954",1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1
"377841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"291",0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4126",0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
"8706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84002",0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
"3141",1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1
"140679",0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1
"8424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"23743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1244",1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
"8714",1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
"28234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645",1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1
"644",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"9488",0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1
"10380",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1
"686",1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1
"8884",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51733",1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0
"7108",0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1
"50814",0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1
"3295",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"6307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"493",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"847",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6543",1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1
"6547",1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1
"6546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166785",0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1
"2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92579",1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1
"1373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873",0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
"10423",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8760",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56994",0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1
