"","ImmProt_Th1_01","ImmProt_Th1_02","ImmProt_Th1_03","ImmProt_Th1_04"
"26",0,1,1,0
"314",NA,NA,NA,NA
"8639",NA,NA,NA,NA
"1591",NA,NA,NA,NA
"1594",1,1,1,1
"10993",1,1,1,1
"6818",1,0,0,0
"89874",NA,NA,NA,NA
"55293",0,1,1,1
"3945",1,1,1,1
"92483",NA,NA,NA,NA
"160287",NA,NA,NA,NA
"3948",NA,NA,NA,NA
"3939",1,1,1,1
"134526",NA,NA,NA,NA
"51",1,1,0,0
"95",0,0,1,1
"50",1,1,1,1
"48",0,1,1,0
"8309",NA,NA,NA,NA
"52",1,1,1,1
"55",0,0,1,1
"788",1,1,1,1
"9194",1,0,1,0
"55902",0,0,1,1
"9123",0,1,1,1
"6566",0,1,1,0
"57835",NA,NA,NA,NA
"65985",0,1,1,0
"8671",1,1,1,1
"438",NA,NA,NA,NA
"1571",NA,NA,NA,NA
"4967",1,1,1,1
"100",1,1,1,1
"8050",0,0,1,1
"1738",1,1,1,1
"3177",NA,NA,NA,NA
"1743",1,1,1,1
"126",NA,NA,NA,NA
"205",0,0,1,1
"128",1,1,1,1
"204",1,1,1,1
"130",NA,NA,NA,NA
"127",1,0,0,0
"131",NA,NA,NA,NA
"124",NA,NA,NA,NA
"125",NA,NA,NA,NA
"26289",0,0,1,0
"137872",NA,NA,NA,NA
"1312",1,1,1,1
"50808",1,1,1,1
"262",1,1,1,1
"117247",0,0,1,0
"222",NA,NA,NA,NA
"113",0,1,0,0
"218",NA,NA,NA,NA
"108",NA,NA,NA,NA
"220",NA,NA,NA,NA
"221",0,0,1,0
"114",NA,NA,NA,NA
"111",NA,NA,NA,NA
"3242",NA,NA,NA,NA
"115",NA,NA,NA,NA
"18",0,1,0,0
"109",NA,NA,NA,NA
"55811",NA,NA,NA,NA
"196883",NA,NA,NA,NA
"2531",1,1,0,0
"107",NA,NA,NA,NA
"23498",0,0,0,1
"112",1,0,0,0
"55268",0,1,0,1
"51166",NA,NA,NA,NA
"2030",0,0,1,1
"883",0,0,1,1
"1644",NA,NA,NA,NA
"4129",0,1,0,0
"9154",NA,NA,NA,NA
"64078",1,1,1,1
"4128",0,1,1,0
"9153",NA,NA,NA,NA
"10165",0,1,0,0
"55315",1,0,0,0
"8604",1,1,1,1
"245972",0,1,0,0
"2572",NA,NA,NA,NA
"9114",0,1,1,1
"11164",1,1,1,1
"2571",NA,NA,NA,NA
"952",0,1,1,0
"51380",NA,NA,NA,NA
"1375",NA,NA,NA,NA
"533",NA,NA,NA,NA
"2805",1,1,1,1
"50617",NA,NA,NA,NA
"1374",1,1,1,1
"2806",1,1,1,1
"8659",0,1,0,0
"126129",NA,NA,NA,NA
"10312",0,1,1,0
"6817",1,0,0,0
"535",1,1,0,0
"127124",NA,NA,NA,NA
"523",1,1,1,1
"1376",1,1,0,0
"6799",NA,NA,NA,NA
"9060",0,0,0,1
"8992",NA,NA,NA,NA
"9061",0,1,0,0
"158",1,1,1,1
"9550",0,1,1,1
"4363",0,1,1,0
"529",0,1,1,0
"6822",NA,NA,NA,NA
"6573",1,1,1,1
"146712",NA,NA,NA,NA
"528",0,1,1,0
"316",NA,NA,NA,NA
"10678",0,0,0,1
"6571",1,1,1,1
"6570",NA,NA,NA,NA
"10331",NA,NA,NA,NA
"51382",0,1,1,0
"2348",NA,NA,NA,NA
"90423",0,0,0,1
"534",NA,NA,NA,NA
"374907",1,0,0,0
"2352",1,1,1,1
"51606",0,1,1,1
"11041",0,0,0,1
"93010",NA,NA,NA,NA
"9296",1,0,0,1
"79369",NA,NA,NA,NA
"4125",0,1,0,1
"954",NA,NA,NA,NA
"79814",0,1,1,0
"53947",NA,NA,NA,NA
"51146",NA,NA,NA,NA
"28",NA,NA,NA,NA
"953",1,0,0,0
"206358",1,1,1,1
"957",NA,NA,NA,NA
"56895",1,1,1,0
"6540",NA,NA,NA,NA
"137964",0,0,1,0
"129642",1,0,1,1
"956",NA,NA,NA,NA
"955",NA,NA,NA,NA
"6539",0,0,1,0
"56894",0,1,1,1
"10555",1,1,0,0
"55326",0,1,1,1
"10554",0,1,1,0
"6529",NA,NA,NA,NA
"6538",NA,NA,NA,NA
"10449",1,1,1,1
"38",1,1,1,1
"64850",NA,NA,NA,NA
"377841",NA,NA,NA,NA
"3032",1,1,1,1
"292",1,1,1,1
"293",1,1,1,1
"64902",NA,NA,NA,NA
"3030",1,1,1,1
"189",NA,NA,NA,NA
"291",0,1,1,1
"39",1,1,1,1
"30",1,1,0,0
"32",NA,NA,NA,NA
"9197",0,0,0,1
"4126",0,0,1,0
"3073",0,1,1,1
"3074",0,1,1,1
"79611",NA,NA,NA,NA
"10606",1,1,1,1
"8706",NA,NA,NA,NA
"84532",0,1,1,1
"64841",0,1,0,0
"55577",1,1,1,1
"5238",0,1,0,0
"8705",NA,NA,NA,NA
"9487",NA,NA,NA,NA
"10317",NA,NA,NA,NA
"162417",NA,NA,NA,NA
"43",NA,NA,NA,NA
"6572",NA,NA,NA,NA
"84002",NA,NA,NA,NA
"47",1,1,1,1
"570",NA,NA,NA,NA
"3141",1,0,1,0
"54187",1,1,1,0
"140679",NA,NA,NA,NA
"26503",0,1,1,0
"54",0,1,1,0
"8424",NA,NA,NA,NA
"51205",0,1,1,0
"53630",NA,NA,NA,NA
"140838",0,1,1,0
"622",0,1,1,0
"36",1,1,1,1
"34",1,1,1,1
"84129",NA,NA,NA,NA
"23743",NA,NA,NA,NA
"80724",0,1,0,0
"635",1,1,1,1
"27034",0,1,0,0
"10599",NA,NA,NA,NA
"28976",1,1,1,1
"1244",NA,NA,NA,NA
"35",1,1,1,1
"3712",1,1,1,1
"1607",0,1,0,0
"8714",1,0,1,1
"28234",NA,NA,NA,NA
"644",1,1,1,1
"1468",0,1,0,1
"8402",1,1,1,1
"64849",NA,NA,NA,NA
"645",1,1,1,1
"9488",0,1,0,0
"1610",NA,NA,NA,NA
"10380",1,1,1,1
"686",0,1,0,1
"1645",0,1,0,0
"2745",1,1,1,1
"1109",NA,NA,NA,NA
"8884",0,0,1,1
"80704",NA,NA,NA,NA
"51022",NA,NA,NA,NA
"51733",NA,NA,NA,NA
"7108",1,0,1,0
"6718",0,0,1,1
"8528",NA,NA,NA,NA
"6510",0,1,0,1
"50814",0,1,1,0
"3295",1,0,0,1
"6307",0,0,1,1
"6509",1,1,1,1
"1632",1,1,1,1
"56301",NA,NA,NA,NA
"492",1,0,1,0
"10455",0,1,0,0
"490",1,0,0,0
"6520",1,1,0,0
"1633",1,1,1,1
"211",0,1,0,0
"493",1,0,0,0
"6319",0,1,0,1
"9415",1,1,1,1
"491",NA,NA,NA,NA
"23464",0,1,0,1
"3992",0,1,0,1
"212",NA,NA,NA,NA
"8694",1,0,0,0
"847",1,1,1,1
"84649",0,0,1,0
"1716",0,1,1,0
"6546",1,1,1,1
"6547",NA,NA,NA,NA
"54407",0,0,1,0
"6541",0,1,0,0
"6543",NA,NA,NA,NA
"6515",1,1,0,0
"59272",NA,NA,NA,NA
"84889",NA,NA,NA,NA
"6517",NA,NA,NA,NA
"81539",0,1,0,0
"340024",NA,NA,NA,NA
"6513",1,0,0,1
"55089",NA,NA,NA,NA
"1718",0,1,1,1
"2538",NA,NA,NA,NA
"1581",NA,NA,NA,NA
"57818",NA,NA,NA,NA
"92579",0,1,0,1
"1373",1,1,1,1
"873",1,1,1,1
"11254",NA,NA,NA,NA
"57393",NA,NA,NA,NA
"6542",NA,NA,NA,NA
"84706",1,0,1,0
"1717",0,1,1,1
"2875",NA,NA,NA,NA
"8560",0,1,1,1
"10423",0,0,1,1
"123099",NA,NA,NA,NA
"92745",0,0,0,1
"10991",NA,NA,NA,NA
"1040",NA,NA,NA,NA
"11309",1,1,1,1
"8760",1,1,1,1
"284273",0,0,1,1
"6783",0,1,0,0
"1723",0,0,1,0
"10327",1,1,1,1
"10390",0,1,0,1
"56994",0,1,0,0
"1807",NA,NA,NA,NA
"64781",1,1,1,1
"1809",NA,NA,NA,NA
"8854",0,1,0,0
"1808",1,1,1,1
"10087",0,1,1,1
"23539",NA,NA,NA,NA
"6565",NA,NA,NA,NA
"9023",NA,NA,NA,NA
"224",0,1,1,0
"501",1,0,0,0
"2224",0,1,1,1
"1103",NA,NA,NA,NA
"29958",NA,NA,NA,NA
"60386",0,0,1,1
"223",1,1,1,1
"216",1,0,0,0
"162466",0,0,1,1
"84920",0,1,1,0
"5130",0,1,0,0
"9468",NA,NA,NA,NA
"6579",NA,NA,NA,NA
"217",1,0,1,1
"219",0,1,0,1
"79087",0,1,0,1
"239",0,1,0,1
"6555",NA,NA,NA,NA
"6554",NA,NA,NA,NA
"26002",NA,NA,NA,NA
"1621",1,1,1,1
"8647",NA,NA,NA,NA
"247",1,1,1,1
"7299",NA,NA,NA,NA
"55349",1,1,1,1
"6530",NA,NA,NA,NA
"246",1,0,1,0
"6531",NA,NA,NA,NA
"6581",NA,NA,NA,NA
"240",1,0,0,0
"231",1,1,1,1
"8574",1,1,1,1
"23600",1,1,0,0
"1119",NA,NA,NA,NA
"1120",0,1,1,0
"5224",NA,NA,NA,NA
"60482",NA,NA,NA,NA
"6582",NA,NA,NA,NA
"115286",1,0,1,0
"5223",1,1,1,1
"6584",NA,NA,NA,NA
"669",0,1,0,0
"271",1,1,1,0
"6820",NA,NA,NA,NA
"4597",0,1,1,0
"51071",0,1,1,0
"10948",0,1,1,1
"19",1,1,1,1
"272",0,1,0,0
"1806",0,1,1,0
"270",NA,NA,NA,NA
"7083",0,1,0,0
"290",0,0,1,0
"1118",1,1,1,1
"7084",0,1,0,0
"54682",NA,NA,NA,NA
"27159",NA,NA,NA,NA
"3704",1,1,1,1
"279",0,1,0,0
"277",0,1,0,0
"1854",1,1,1,1
"10682",0,1,1,1
"9058",NA,NA,NA,NA
"276",0,1,0,0
"278",NA,NA,NA,NA
"1892",1,1,1,1
"549",0,1,0,1
"11136",NA,NA,NA,NA
"6519",NA,NA,NA,NA
"1962",1,0,0,1
"280",0,1,0,0
"6576",1,1,1,1
"1891",1,1,1,1
"1160",NA,NA,NA,NA
"11001",1,1,1,0
"1159",0,0,1,1
"548596",0,0,1,1
"1152",0,0,1,0
"1158",1,1,1,1
"5172",NA,NA,NA,NA
"65010",NA,NA,NA,NA
"10998",NA,NA,NA,NA
"113451",NA,NA,NA,NA
"53919",NA,NA,NA,NA
"9057",1,1,0,0
"384",0,0,0,1
"28231",NA,NA,NA,NA
"54675",NA,NA,NA,NA
"10257",0,1,1,0
"10559",0,1,1,0
"445",1,1,1,1
"28232",NA,NA,NA,NA
"55907",1,1,1,1
"2108",1,1,1,1
"8034",0,1,1,1
"2109",1,1,1,1
"83884",NA,NA,NA,NA
"10166",1,1,1,0
"8824",NA,NA,NA,NA
"410",1,0,0,1
"2110",1,0,0,0
"51805",0,1,0,1
"55500",0,1,0,1
"427",1,0,1,1
"55224",NA,NA,NA,NA
"51004",1,0,1,0
"10229",0,0,1,1
"9962",NA,NA,NA,NA
"2181",0,1,0,0
"9245",NA,NA,NA,NA
"2650",0,0,1,0
"51301",1,1,1,1
"2182",0,1,0,0
"9963",NA,NA,NA,NA
"2180",1,0,0,0
"192134",NA,NA,NA,NA
"386757",NA,NA,NA,NA
"80150",0,0,1,1
"51703",1,0,0,0
"81616",NA,NA,NA,NA
"23305",1,1,0,0
"440",0,0,1,1
"6535",NA,NA,NA,NA
"1384",0,1,0,0
"116285",NA,NA,NA,NA
"6583",1,1,1,1
"5167",1,1,1,1
"790",1,1,1,1
"5169",1,1,0,0
"54898",NA,NA,NA,NA
"6511",NA,NA,NA,NA
"1431",1,1,1,1
"6785",NA,NA,NA,NA
"6505",NA,NA,NA,NA
"54677",1,1,0,0
"60481",1,0,0,1
"6507",1,1,1,1
"79071",NA,NA,NA,NA
"1579",NA,NA,NA,NA
"6512",NA,NA,NA,NA
"2194",0,1,0,0
"6506",1,1,1,1
"376497",0,0,1,1
"10999",0,1,0,0
"525",NA,NA,NA,NA
"11000",0,1,0,1
"230",1,1,1,1
"226",1,1,1,1
"527",0,0,1,1
"8140",1,0,0,1
"229",1,1,1,1
"23545",0,1,0,1
"5207",NA,NA,NA,NA
"526",1,1,1,1
"23428",NA,NA,NA,NA
"5208",0,0,1,1
"1036",NA,NA,NA,NA
"245973",NA,NA,NA,NA
"5210",1,1,1,1
"8789",0,1,0,0
"5209",0,1,1,0
"124935",1,1,1,1
"2203",0,1,1,0
"2235",1,1,1,1
"23657",1,0,0,0
"57379",1,1,1,1
"2629",0,0,1,1
"10840",NA,NA,NA,NA
"26301",NA,NA,NA,NA
"79901",1,0,0,1
"978",1,1,1,1
"7371",1,0,1,0
"83549",0,0,1,1
"7915",0,1,1,0
"125061",1,1,1,1
"4329",1,1,1,1
"51727",1,1,1,1
"1719",1,0,0,1
"129607",0,1,0,1
"2356",1,0,0,1
"2731",1,1,0,0
"29988",1,1,1,1
"275",1,0,0,0
"2653",0,0,1,1
"1609",0,1,1,0
"155184",NA,NA,NA,NA
"2651",NA,NA,NA,NA
"6514",NA,NA,NA,NA
"6518",1,1,1,1
"8525",0,1,1,0
"66035",NA,NA,NA,NA
"55343",NA,NA,NA,NA
"7264",1,1,1,1
"160428",NA,NA,NA,NA
"8836",0,1,1,0
"4522",1,1,1,1
"25902",1,0,1,0
"1608",1,1,1,1
"79017",0,0,1,1
"2519",0,1,1,0
"2997",0,1,1,0
"160851",0,1,1,1
"9162",NA,NA,NA,NA
"2184",0,1,0,0
"8527",1,1,1,1
"8908",NA,NA,NA,NA
"2271",1,1,1,1
"2992",0,1,1,1
"2523",NA,NA,NA,NA
"8526",0,1,0,0
"2998",NA,NA,NA,NA
"2525",NA,NA,NA,NA
"2687",NA,NA,NA,NA
"6470",0,1,1,0
"1606",1,1,1,1
"6472",1,1,1,1
"10690",NA,NA,NA,NA
"9334",0,0,1,0
"8704",NA,NA,NA,NA
"2717",1,0,0,0
"8703",0,1,0,1
"2632",0,0,1,1
"2683",0,1,0,1
"2820",1,1,0,0
"5832",0,1,0,1
"2990",0,1,1,1
"9563",0,1,1,0
"8372",0,1,0,0
"3290",1,1,1,1
"2539",1,0,0,0
"3291",NA,NA,NA,NA
"3292",NA,NA,NA,NA
"26035",1,1,1,1
"2542",0,0,0,1
"2593",0,1,0,1
"54480",1,0,1,0
"2132",1,1,1,1
"7923",1,0,0,0
"3294",NA,NA,NA,NA
"2131",0,0,1,0
"51478",1,1,0,0
"9514",NA,NA,NA,NA
"3283",NA,NA,NA,NA
"2720",0,0,0,1
"3284",NA,NA,NA,NA
"27087",NA,NA,NA,NA
"4758",1,1,1,0
"80270",1,1,1,1
"57026",1,1,0,0
"5476",1,0,0,1
"135152",NA,NA,NA,NA
"2588",0,1,0,1
"26229",1,1,0,0
"2581",0,1,1,1
"4669",0,0,0,1
"3421",1,1,1,1
"2583",NA,NA,NA,NA
"55454",1,0,0,1
"3420",1,1,1,1
"3340",0,1,0,0
"8509",0,0,0,1
"9348",NA,NA,NA,NA
"55790",1,1,1,1
"64579",NA,NA,NA,NA
"3419",1,1,1,1
"79586",0,1,0,0
"3417",0,1,0,0
"2137",NA,NA,NA,NA
"3418",1,1,1,1
"22856",0,1,1,0
"337876",NA,NA,NA,NA
"7173",NA,NA,NA,NA
"2135",1,0,0,0
"2134",NA,NA,NA,NA
"55568",0,0,0,1
"56606",1,1,1,1
"2590",0,1,0,1
"154091",NA,NA,NA,NA
"3425",0,0,1,1
"2591",0,0,0,1
"144195",NA,NA,NA,NA
"11182",1,1,1,1
"114805",NA,NA,NA,NA
"6523",NA,NA,NA,NA
"587",1,1,1,1
"8693",1,0,0,0
"63917",NA,NA,NA,NA
"50614",NA,NA,NA,NA
"8501",NA,NA,NA,NA
"2589",0,1,1,0
"178",0,1,1,0
"51809",1,1,0,0
"55586",NA,NA,NA,NA
"114134",1,1,1,1
"117248",NA,NA,NA,NA
"11227",NA,NA,NA,NA
"6526",0,0,0,1
"11226",1,0,0,1
"79695",NA,NA,NA,NA
"79623",NA,NA,NA,NA
"3422",0,1,1,0
"91734",NA,NA,NA,NA
"26290",NA,NA,NA,NA
"81031",NA,NA,NA,NA
"126792",0,0,1,1
"5837",NA,NA,NA,NA
"5836",1,0,0,0
"5834",1,1,1,1
"160728",NA,NA,NA,NA
"8801",1,1,1,1
"11285",0,0,1,1
"8802",1,1,1,1
"2729",0,1,1,0
"8972",1,0,0,0
"2618",1,1,1,0
"2730",1,1,1,1
"8803",1,1,1,1
"10723",1,0,1,1
"9990",0,1,1,0
"2746",1,1,1,1
"6560",0,1,0,0
"2747",1,1,1,1
"5019",1,1,1,1
"10841",NA,NA,NA,NA
"57468",NA,NA,NA,NA
"3795",0,0,0,1
"1629",1,1,0,0
"27165",NA,NA,NA,NA
"594",0,0,1,1
"2744",1,1,1,1
"8564",0,1,0,1
"3938",NA,NA,NA,NA
"593",1,1,0,0
"26873",1,1,1,1
"79751",1,0,1,1
"83733",NA,NA,NA,NA
"4942",0,1,1,0
"2639",1,1,0,1
"53",0,1,1,0
"3931",1,0,0,0
"7372",0,1,1,0
"57084",NA,NA,NA,NA
"1811",NA,NA,NA,NA
"246213",NA,NA,NA,NA
"57030",NA,NA,NA,NA
"387775",NA,NA,NA,NA
"10861",NA,NA,NA,NA
"1836",0,0,1,1
"124637",NA,NA,NA,NA
"51179",NA,NA,NA,NA
"54363",NA,NA,NA,NA
"366",1,1,1,1
"1583",1,1,1,1
"2628",1,0,0,0
"1584",NA,NA,NA,NA
"1585",NA,NA,NA,NA
"11283",1,1,1,1
"9380",1,1,1,1
"1586",NA,NA,NA,NA
"2713",NA,NA,NA,NA
"4047",0,1,0,1
"1588",NA,NA,NA,NA
"29124",NA,NA,NA,NA
"5321",0,1,0,1
"2710",1,1,0,0
"1576",NA,NA,NA,NA
"2712",1,1,1,1
"1178",1,0,1,0
"51268",NA,NA,NA,NA
"1056",NA,NA,NA,NA
"3029",1,1,1,1
"6536",NA,NA,NA,NA
"1589",NA,NA,NA,NA
"1593",0,1,0,0
"3990",NA,NA,NA,NA
"1548",NA,NA,NA,NA
"80339",NA,NA,NA,NA
"4023",1,1,1,1
"5226",1,1,1,1
"1553",NA,NA,NA,NA
"11343",1,0,0,0
"1562",NA,NA,NA,NA
"27232",NA,NA,NA,NA
"1558",NA,NA,NA,NA
"57678",NA,NA,NA,NA
"50487",NA,NA,NA,NA
"284098",NA,NA,NA,NA
"1559",NA,NA,NA,NA
"93183",1,1,1,1
"9227",1,1,1,1
"1565",1,1,1,1
"54965",0,0,0,1
"1572",NA,NA,NA,NA
"51302",NA,NA,NA,NA
"2936",1,1,1,1
"6309",NA,NA,NA,NA
"64816",NA,NA,NA,NA
"4048",1,1,1,1
"1577",NA,NA,NA,NA
"4056",1,1,1,1
"5052",1,1,1,1
"7001",1,1,1,1
"1551",NA,NA,NA,NA
"4259",1,1,1,1
"10858",NA,NA,NA,NA
"2876",1,1,1,1
"66002",1,1,1,1
"8529",NA,NA,NA,NA
"2879",1,1,1,1
"4258",1,1,0,0
"4051",0,1,0,1
"9420",1,1,1,1
"1582",NA,NA,NA,NA
"2877",NA,NA,NA,NA
"5831",0,1,0,0
"2878",1,0,0,0
"2954",0,1,0,1
"257202",NA,NA,NA,NA
"2882",1,0,0,0
"5048",1,1,1,1
"2548",1,0,1,0
"10935",1,1,1,1
"5051",0,1,0,1
"5050",1,1,1,1
"2937",0,1,1,1
"5049",1,1,1,1
"64087",1,1,1,1
"7941",1,1,1,1
"56922",1,1,0,0
"23417",0,0,1,1
"2678",0,1,1,0
"347734",0,1,1,1
"57194",NA,NA,NA,NA
"5337",0,0,0,1
"4357",0,1,1,0
"5338",1,1,1,1
"2679",NA,NA,NA,NA
"4190",1,1,1,1
"130013",NA,NA,NA,NA
"4191",1,1,1,1
"4200",1,1,1,1
"4881",NA,NA,NA,NA
"5091",0,1,1,1
"4882",NA,NA,NA,NA
"2984",NA,NA,NA,NA
"2974",NA,NA,NA,NA
"2982",1,1,1,1
"2986",NA,NA,NA,NA
"4199",0,1,0,0
"10873",0,0,1,0
"3620",0,0,1,0
"2983",0,1,1,1
"3000",1,1,1,1
"1557",NA,NA,NA,NA
"1545",0,1,0,1
"5244",NA,NA,NA,NA
"2977",NA,NA,NA,NA
"1543",0,0,1,0
"1544",NA,NA,NA,NA
"9615",NA,NA,NA,NA
"4144",1,1,1,1
"4143",1,1,1,1
"5150",0,0,1,0
"27430",1,1,1,1
"4548",0,1,0,1
"763",NA,NA,NA,NA
"5143",NA,NA,NA,NA
"11238",0,1,0,1
"4598",1,1,1,0
"5137",0,1,0,0
"3636",0,1,1,1
"5151",NA,NA,NA,NA
"23556",0,1,0,0
"55650",NA,NA,NA,NA
"3635",1,1,1,1
"3633",0,0,1,0
"8867",0,1,1,1
"5140",1,1,0,0
"27124",NA,NA,NA,NA
"53905",NA,NA,NA,NA
"50506",NA,NA,NA,NA
"5142",NA,NA,NA,NA
"343",NA,NA,NA,NA
"5281",NA,NA,NA,NA
"3632",0,0,1,0
"10846",NA,NA,NA,NA
"84720",1,1,1,0
"56623",NA,NA,NA,NA
"5141",1,1,1,1
"8622",NA,NA,NA,NA
"3628",0,1,1,1
"3707",0,1,0,0
"80235",NA,NA,NA,NA
"5144",1,0,0,0
"3706",NA,NA,NA,NA
"5153",NA,NA,NA,NA
"80271",0,0,0,1
"94005",0,1,1,0
"27115",NA,NA,NA,NA
"128869",0,1,1,0
"51477",0,1,0,0
"10026",0,1,0,1
"5138",1,1,1,1
"51604",0,1,0,0
"3631",0,1,1,0
"5139",0,1,0,0
"8821",1,1,1,1
"50940",NA,NA,NA,NA
"2595",1,0,0,1
"84693",0,1,1,0
"8733",0,1,1,0
"5136",NA,NA,NA,NA
"4594",1,1,1,0
"3028",1,1,1,1
"5152",NA,NA,NA,NA
"3033",1,1,1,1
"3037",NA,NA,NA,NA
"80168",NA,NA,NA,NA
"116255",NA,NA,NA,NA
"5146",NA,NA,NA,NA
"4507",1,1,1,1
"3038",NA,NA,NA,NA
"3036",NA,NA,NA,NA
"27235",NA,NA,NA,NA
"6521",1,0,1,0
"83697",NA,NA,NA,NA
"10797",0,1,0,1
"56913",1,0,1,0
"443",NA,NA,NA,NA
"91703",1,1,1,1
"6522",1,1,0,0
"6508",NA,NA,NA,NA
"5145",NA,NA,NA,NA
"4668",0,0,1,1
"9498",NA,NA,NA,NA
"57282",1,1,1,1
"6528",NA,NA,NA,NA
"3098",1,1,1,1
"80201",NA,NA,NA,NA
"8654",0,1,0,1
"2645",NA,NA,NA,NA
"483",1,1,1,1
"3101",1,1,0,0
"5149",1,1,1,1
"478",0,1,0,0
"480",NA,NA,NA,NA
"481",0,1,0,0
"3099",1,0,0,0
"5147",0,0,1,1
"482",NA,NA,NA,NA
"476",1,1,1,1
"477",1,0,0,1
"23439",NA,NA,NA,NA
"3081",1,1,1,1
"11112",1,1,1,1
"3067",1,1,1,1
"6549",NA,NA,NA,NA
"6550",NA,NA,NA,NA
"5148",NA,NA,NA,NA
"496",NA,NA,NA,NA
"6548",0,0,1,0
"495",1,1,1,1
"55748",1,1,1,1
"5158",NA,NA,NA,NA
"84735",0,1,0,0
"6559",NA,NA,NA,NA
"8942",0,0,1,1
"5162",1,1,1,1
"3157",1,1,0,0
"5161",NA,NA,NA,NA
"123041",NA,NA,NA,NA
"1737",1,1,1,1
"3158",NA,NA,NA,NA
"5160",1,1,1,1
"55163",0,1,1,0
"25769",NA,NA,NA,NA
"54511",NA,NA,NA,NA
"10396",0,0,1,0
"57419",NA,NA,NA,NA
"9187",NA,NA,NA,NA
"5105",NA,NA,NA,NA
"124583",0,1,1,0
"3155",1,1,1,1
"5106",1,0,1,1
"3162",0,1,1,1
"3163",1,1,1,1
"79077",0,1,0,1
"8310",0,0,1,0
"9583",0,1,0,0
"26062",NA,NA,NA,NA
"197257",0,1,0,0
"5833",0,1,1,1
"1841",1,1,1,1
"10400",NA,NA,NA,NA
"6448",0,0,1,1
"29922",0,0,1,0
"26227",1,1,1,0
"10201",0,1,0,0
"5730",1,1,1,1
"4830",0,1,0,1
"27306",1,1,1,1
"80142",1,1,0,0
"4831",1,1,1,1
"4832",0,1,1,0
"200576",1,0,1,0
"8396",0,1,1,1
"9536",1,1,1,1
"4833",1,1,1,1
"6005",1,1,1,1
"79837",0,1,1,0
"5740",1,1,1,1
"5289",0,1,0,0
"57127",NA,NA,NA,NA
"6557",NA,NA,NA,NA
"5277",NA,NA,NA,NA
"114971",1,1,0,0
"6558",0,1,1,0
"349565",0,0,1,0
"9489",0,1,0,0
"64802",1,0,1,1
"23057",NA,NA,NA,NA
"8818",NA,NA,NA,NA
"5743",0,1,0,0
"5742",1,0,1,0
"10135",0,1,0,0
"6898",NA,NA,NA,NA
"5053",NA,NA,NA,NA
"5283",NA,NA,NA,NA
"5264",NA,NA,NA,NA
"4837",NA,NA,NA,NA
"5409",NA,NA,NA,NA
"5728",0,1,1,1
"645740",NA,NA,NA,NA
"8871",0,1,0,0
"51227",NA,NA,NA,NA
"8395",1,0,0,0
"9091",0,1,0,0
"4842",NA,NA,NA,NA
"23396",0,1,0,0
"4843",NA,NA,NA,NA
