"","ImmProt_mTregs_01","ImmProt_mTregs_02","ImmProt_mTregs_03","ImmProt_mTregs_04","ImmProt_mTregs_01_activated","ImmProt_mTregs_02_activated","ImmProt_mTregs_03_activated","ImmProt_nTregs_01","ImmProt_nTregs_02","ImmProt_nTregs_03","ImmProt_nTregs_04","ImmProt_nTregs_01_activated","ImmProt_nTregs_02_activated","ImmProt_nTregs_03_activated"
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1594",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10993",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6818",0,1,1,1,1,1,1,1,1,0,0,1,0,0
"89874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3945",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55293",0,1,1,1,1,0,1,0,0,0,0,0,0,1
"160287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3939",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9194",1,1,0,1,1,0,0,1,0,1,1,0,1,1
"6566",0,1,0,0,1,0,1,1,1,0,0,0,0,1
"9123",0,0,1,1,1,1,0,1,0,1,0,1,1,0
"57835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8671",0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1738",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4967",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1743",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8050",0,1,1,0,1,0,0,0,1,1,1,0,1,0
"128",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",0,0,0,0,1,1,1,1,0,1,1,0,1,1
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1312",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117247",0,1,1,1,0,0,0,1,0,1,0,0,0,0
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",0,0,0,0,0,0,0,1,0,1,0,0,1,0
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0,1,1,1,0,1,1,0,1,1,1,0,1,1
"2531",0,1,0,1,1,0,0,1,1,0,0,0,1,0
"23498",0,1,0,0,1,1,0,0,0,0,0,0,0,0
"55268",1,1,1,0,1,1,1,0,1,0,1,0,0,1
"883",0,1,1,0,1,0,0,0,1,0,1,1,0,0
"51166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4128",0,0,0,1,1,1,1,1,1,1,1,1,1,0
"4129",0,0,0,1,0,0,0,1,0,1,0,0,1,1
"8604",0,1,0,1,1,0,0,0,1,1,1,1,1,0
"10165",0,1,0,1,0,1,1,0,1,0,1,0,1,0
"2572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2805",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",0,1,1,0,1,1,0,0,1,1,0,0,0,1
"6817",1,0,1,1,1,1,1,1,0,0,1,0,1,1
"6799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6573",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6571",1,0,0,0,0,0,0,0,1,1,0,0,0,0
"2348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2352",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"4125",0,1,1,1,0,1,0,0,0,1,1,0,1,0
"53947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206358",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6539",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3032",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10449",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3030",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9197",0,0,1,1,0,1,1,1,0,1,0,1,1,0
"79611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84532",0,1,1,0,0,1,1,0,1,1,0,0,0,1
"64841",0,1,1,0,0,1,1,0,1,1,1,0,0,1
"55577",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5238",0,0,1,1,1,1,1,0,1,1,1,1,0,1
"9487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54187",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26503",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,1,1,1,0,1,1,1,1,1,0,0,1,1
"140838",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"51205",0,1,1,0,1,1,1,0,1,1,0,0,0,1
"36",0,1,1,0,1,0,1,0,1,1,1,1,0,1
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28976",0,1,1,0,0,1,1,0,1,1,1,0,1,1
"80724",0,1,1,0,0,0,1,0,1,1,1,1,0,1
"27034",0,1,0,1,1,1,0,0,1,0,1,1,0,0
"3712",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",0,1,1,0,1,1,0,0,1,1,1,1,0,0
"95",1,0,1,0,1,0,1,0,1,0,1,1,1,0
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",0,1,1,0,0,1,0,0,1,1,1,0,1,0
"8309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"55",0,1,0,0,0,0,0,0,0,0,0,1,0,1
"788",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55902",1,0,1,1,1,0,1,0,1,1,1,1,0,1
"65985",0,0,1,0,0,0,0,0,1,1,1,0,1,0
"438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1,1,1,0,1,1,1,1,0,1,1,1,1,1
"3177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",1,0,0,0,1,1,1,0,0,1,0,1,1,0
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26289",0,1,0,0,1,1,1,0,1,1,1,1,0,0
"50808",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"262",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"113",0,0,0,1,1,1,1,0,1,1,1,0,0,1
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2030",0,1,0,1,0,0,1,0,0,0,0,0,1,1
"9154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64078",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"9153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55315",0,0,0,1,0,0,0,0,0,1,1,0,0,0
"11164",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"952",0,1,1,0,1,0,1,0,1,1,1,0,1,1
"1375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374",1,1,0,0,0,0,1,0,1,1,0,0,1,1
"126129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1376",0,1,0,1,0,1,1,0,0,1,1,0,1,1
"9061",0,1,1,0,1,1,0,0,1,1,1,0,1,0
"9060",0,1,1,1,0,1,1,1,0,1,1,1,1,1
"158",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374907",1,1,1,1,1,1,0,0,1,1,1,1,1,1
"10678",1,0,0,0,0,0,0,1,0,1,1,0,0,0
"79369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11041",0,0,0,1,1,0,0,1,0,0,0,0,1,0
"93010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79814",0,1,0,1,1,0,1,0,1,0,1,0,1,1
"56894",0,1,1,1,0,1,1,0,1,1,1,0,1,1
"10555",1,1,0,1,1,0,0,1,1,0,1,0,1,0
"137964",0,0,1,1,1,0,0,0,1,0,0,0,0,1
"56895",1,1,0,0,1,1,1,0,0,1,0,0,1,0
"55326",0,1,0,0,0,0,1,0,1,1,1,0,0,1
"129642",0,1,0,1,0,0,0,0,1,0,0,0,1,0
"64850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3074",0,1,1,0,0,1,0,0,1,0,1,1,0,1
"3073",0,1,1,0,1,0,0,0,1,1,1,1,0,1
"10606",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8402",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1468",0,0,1,0,0,1,1,0,0,0,0,0,1,0
"64849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1645",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6718",0,1,0,1,0,0,1,0,0,1,1,0,0,0
"6510",0,1,0,1,1,1,0,0,0,1,1,0,1,1
"6509",1,1,0,1,1,0,1,0,0,0,0,0,1,1
"56301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6520",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"211",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"23464",0,0,0,1,0,0,0,0,0,0,1,1,1,0
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6541",1,1,0,1,1,1,1,0,1,0,1,0,1,1
"84889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54407",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"81539",0,0,1,1,0,0,0,1,0,0,0,0,1,1
"340024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84706",1,0,1,1,0,0,0,0,0,0,0,0,1,0
"92745",0,0,1,0,1,0,0,1,1,1,1,0,1,1
"10991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284273",0,0,1,1,1,1,0,0,0,1,1,0,1,0
"10327",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8854",0,1,1,0,1,0,0,1,0,0,0,0,1,1
"224",0,1,1,0,1,0,0,0,1,1,1,0,0,1
"223",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",0,1,1,1,1,1,1,1,0,0,1,1,1,0
"501",0,1,1,1,0,0,0,0,1,1,1,1,1,0
"217",1,1,1,0,0,1,1,0,0,1,1,1,1,0
"219",0,0,1,0,0,1,1,0,1,1,1,0,1,1
"239",0,0,0,0,0,1,1,0,1,0,0,0,0,0
"247",0,0,0,0,0,0,0,0,0,1,0,0,1,0
"246",1,0,1,1,0,0,1,1,0,0,1,0,1,0
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23600",0,0,1,1,1,1,1,0,0,0,0,1,1,0
"115286",0,0,1,1,0,0,0,0,1,0,0,0,0,0
"271",0,1,1,0,1,1,0,0,1,0,1,1,0,0
"272",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",1,1,0,0,0,1,1,1,0,1,0,0,1,1
"278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"280",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9057",0,0,1,1,1,1,1,0,1,1,1,0,0,1
"384",0,0,0,1,1,1,1,1,0,0,0,0,1,1
"445",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"83884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10166",0,1,0,0,0,0,0,1,1,0,0,0,0,1
"410",1,0,1,0,0,1,0,1,1,1,0,1,1,0
"427",0,1,1,1,1,1,0,0,1,0,1,0,1,0
"9963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80150",0,0,1,1,0,0,0,1,0,0,0,0,1,1
"440",0,0,1,1,1,0,1,0,1,0,1,0,1,1
"790",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6507",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9296",0,1,1,1,1,1,0,0,1,1,1,0,0,1
"51606",0,1,1,0,1,0,0,0,1,1,1,0,1,0
"533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90423",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"528",0,0,1,1,0,0,1,0,0,0,1,1,1,0
"525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10312",0,1,1,1,0,0,1,0,0,1,1,0,1,1
"127124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9114",0,1,0,1,1,1,0,0,1,1,1,0,1,1
"23545",0,1,1,1,0,1,1,1,0,0,1,1,0,0
"8992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535",0,0,1,0,1,1,1,0,1,0,1,1,0,1
"527",1,1,0,1,0,1,1,0,1,1,1,0,1,1
"526",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"523",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"529",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51382",0,1,1,0,0,0,1,0,0,1,1,1,0,0
"245972",1,1,0,1,1,1,1,0,0,1,0,1,0,1
"957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"953",1,1,0,0,1,0,0,1,1,0,0,0,0,1
"954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"291",0,1,1,0,0,1,1,0,1,1,1,1,0,1
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4126",0,1,1,0,1,1,0,0,1,1,0,0,1,1
"8706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3141",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"140679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8714",1,1,0,1,1,1,1,0,0,1,1,1,1,0
"28234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645",1,1,1,1,0,1,1,1,1,1,1,1,1,1
"644",0,1,1,0,1,1,1,1,1,0,1,1,1,1
"9488",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10380",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"686",1,1,0,0,1,0,0,1,1,1,0,1,1,1
"8884",0,0,1,0,0,0,0,0,0,1,1,0,1,1
"80704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7108",0,1,1,0,0,0,0,0,1,1,0,0,0,0
"50814",0,1,1,1,0,1,1,0,1,1,1,1,0,1
"3295",0,1,1,0,1,0,0,0,0,1,0,0,0,1
"6307",0,1,0,1,1,1,1,0,1,1,0,1,0,0
"493",1,1,0,1,1,0,0,1,0,0,1,1,1,0
"492",0,1,0,0,0,0,0,1,0,0,1,1,1,0
"491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490",0,1,0,1,1,0,1,1,1,0,0,0,1,0
"847",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6546",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"166785",1,1,0,1,1,0,1,0,0,1,1,0,1,0
"2538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92579",1,1,1,0,1,1,1,0,0,1,1,0,0,0
"1373",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10423",0,0,0,1,1,0,1,0,0,1,1,0,1,0
"8760",1,1,0,0,1,0,0,0,1,1,1,0,1,0
