"","ImmProt_T8.naive_01","ImmProt_T8.naive_02","ImmProt_T8.naive_03","ImmProt_T8.naive_04","ImmProt_T8.naive_02_activated","ImmProt_T8.naive_03_activated","ImmProt_T8.naive_04_activated"
"84569",NA,NA,NA,NA,NA,NA,NA
"4025",NA,NA,NA,NA,NA,NA,NA
"54995",1,1,1,0,0,1,0
"93492",NA,NA,NA,NA,NA,NA,NA
"1267",1,1,0,0,0,1,1
"10249",0,0,0,0,0,1,1
"1573",NA,NA,NA,NA,NA,NA,NA
"1580",NA,NA,NA,NA,NA,NA,NA
"199974",NA,NA,NA,NA,NA,NA,NA
"260293",NA,NA,NA,NA,NA,NA,NA
"1555",NA,NA,NA,NA,NA,NA,NA
"1549",NA,NA,NA,NA,NA,NA,NA
"57834",NA,NA,NA,NA,NA,NA,NA
"29785",0,0,0,0,1,0,0
"1215",0,0,0,0,0,0,0
"1357",NA,NA,NA,NA,NA,NA,NA
"93979",NA,NA,NA,NA,NA,NA,NA
"57094",NA,NA,NA,NA,NA,NA,NA
"1358",NA,NA,NA,NA,NA,NA,NA
"7177",0,0,0,0,0,0,0
"64499",0,0,0,0,0,0,0
"23430",NA,NA,NA,NA,NA,NA,NA
"1636",0,0,0,0,0,0,0
"9365",NA,NA,NA,NA,NA,NA,NA
"9331",NA,NA,NA,NA,NA,NA,NA
"7368",0,0,0,0,0,0,0
"5315",1,1,1,1,1,1,1
"1666",0,0,0,0,0,0,0
"874",1,1,1,1,1,1,1
"10901",0,1,0,1,0,1,1
"126410",0,0,0,0,0,0,0
"2053",1,1,0,0,0,1,1
"8897",1,0,0,1,0,0,1
"8898",1,0,1,0,0,1,1
"9152",NA,NA,NA,NA,NA,NA,NA
"9497",1,0,1,0,0,1,1
"115584",NA,NA,NA,NA,NA,NA,NA
"6575",NA,NA,NA,NA,NA,NA,NA
"6574",0,0,0,0,0,1,1
"142680",NA,NA,NA,NA,NA,NA,NA
"6534",NA,NA,NA,NA,NA,NA,NA
"3293",NA,NA,NA,NA,NA,NA,NA
"1622",1,1,1,1,1,1,1
"225",0,0,1,0,1,0,1
"28965",NA,NA,NA,NA,NA,NA,NA
"23205",0,0,0,0,0,0,0
"26061",0,0,1,1,0,1,1
"54716",NA,NA,NA,NA,NA,NA,NA
"6564",NA,NA,NA,NA,NA,NA,NA
"113235",0,0,0,0,0,0,0
"1200",1,1,1,0,1,1,1
"2168",0,0,0,0,0,1,1
"51056",1,1,1,1,1,1,1
"9390",NA,NA,NA,NA,NA,NA,NA
"5184",1,0,1,0,0,1,1
"4891",NA,NA,NA,NA,NA,NA,NA
"30061",NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA
"4524",0,0,1,0,0,1,0
"25796",1,1,1,1,1,1,1
"28982",1,0,0,0,0,1,1
"6120",0,0,1,0,0,1,1
"10864",NA,NA,NA,NA,NA,NA,NA
"9376",NA,NA,NA,NA,NA,NA,NA
"9356",NA,NA,NA,NA,NA,NA,NA
"348932",NA,NA,NA,NA,NA,NA,NA
"120103",NA,NA,NA,NA,NA,NA,NA
"1080",NA,NA,NA,NA,NA,NA,NA
"85320",NA,NA,NA,NA,NA,NA,NA
"222962",NA,NA,NA,NA,NA,NA,NA
"10351",NA,NA,NA,NA,NA,NA,NA
"9429",NA,NA,NA,NA,NA,NA,NA
"55867",NA,NA,NA,NA,NA,NA,NA
"364",NA,NA,NA,NA,NA,NA,NA
"89872",NA,NA,NA,NA,NA,NA,NA
"360",NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA
"125206",NA,NA,NA,NA,NA,NA,NA
"200010",NA,NA,NA,NA,NA,NA,NA
"6524",NA,NA,NA,NA,NA,NA,NA
"159963",NA,NA,NA,NA,NA,NA,NA
"55065",0,0,0,0,0,0,0
"79581",0,0,0,0,0,0,0
"3767",NA,NA,NA,NA,NA,NA,NA
"6833",NA,NA,NA,NA,NA,NA,NA
"10060",NA,NA,NA,NA,NA,NA,NA
"3764",NA,NA,NA,NA,NA,NA,NA
"5947",NA,NA,NA,NA,NA,NA,NA
"64220",NA,NA,NA,NA,NA,NA,NA
"5950",1,0,0,1,0,1,1
"5948",NA,NA,NA,NA,NA,NA,NA
"949",0,0,0,1,0,0,0
"29881",NA,NA,NA,NA,NA,NA,NA
"2350",0,0,0,0,0,0,0
"3248",0,1,0,0,0,0,0
"166929",NA,NA,NA,NA,NA,NA,NA
"56261",1,1,0,0,0,1,1
"3658",1,0,1,0,0,1,0
"203",0,1,0,1,0,0,0
"122481",NA,NA,NA,NA,NA,NA,NA
"159",1,1,1,0,0,1,1
"122622",NA,NA,NA,NA,NA,NA,NA
"11212",1,1,1,1,1,1,1
"383",0,0,0,1,0,0,1
"1371",1,1,1,1,0,1,1
"1503",0,0,1,0,0,1,1
"56474",1,0,1,0,0,1,1
"2987",1,1,1,1,0,1,1
"5860",1,1,1,1,1,1,1
"9453",1,1,1,0,0,1,1
"2027",0,0,0,0,0,1,1
"2026",1,1,1,1,1,1,1
"2023",1,1,1,1,1,1,1
"9843",NA,NA,NA,NA,NA,NA,NA
"80308",0,1,1,0,0,1,1
"7360",0,0,0,0,0,0,0
"26330",NA,NA,NA,NA,NA,NA,NA
"2597",1,1,1,1,1,1,1
"9945",0,0,0,0,0,0,0
"2673",1,0,1,1,0,1,1
"2752",1,1,0,1,0,0,1
"51557",0,0,1,1,0,0,0
"1800",NA,NA,NA,NA,NA,NA,NA
"2762",0,0,1,0,0,1,1
"2643",0,1,1,1,0,1,1
"761",0,0,0,0,0,0,0
"359",NA,NA,NA,NA,NA,NA,NA
"4284",NA,NA,NA,NA,NA,NA,NA
"361",NA,NA,NA,NA,NA,NA,NA
"358",0,0,0,0,0,0,0
"362",NA,NA,NA,NA,NA,NA,NA
"3145",1,0,1,0,0,1,1
"586",0,1,0,1,0,1,1
"3614",0,0,1,0,0,1,1
"3615",1,1,1,1,1,1,1
"682",0,1,0,1,0,1,1
"4351",1,1,1,1,0,1,1
"441024",NA,NA,NA,NA,NA,NA,NA
"100287639",NA,NA,NA,NA,NA,NA,NA
"65220",1,1,0,1,0,0,1
"389015",NA,NA,NA,NA,NA,NA,NA
"6553",NA,NA,NA,NA,NA,NA,NA
"2821",1,1,1,1,1,1,1
"5230",1,1,1,1,1,1,1
"5232",NA,NA,NA,NA,NA,NA,NA
"375056",1,1,0,1,0,1,1
"5236",1,1,1,1,1,1,1
"55276",1,1,1,1,1,1,1
"5373",1,1,1,0,0,1,1
"5372",1,0,1,0,0,1,0
"210",0,0,0,1,0,0,0
"60490",1,0,1,0,0,1,1
"79717",0,1,1,0,0,1,1
"58510",NA,NA,NA,NA,NA,NA,NA
"153201",NA,NA,NA,NA,NA,NA,NA
"5634",0,1,1,0,0,1,1
"5631",1,1,1,1,1,1,1
"221823",NA,NA,NA,NA,NA,NA,NA
"29968",1,1,1,1,0,1,1
"5723",0,1,1,0,0,1,1
"55312",1,1,1,0,1,0,1
"6888",1,1,1,1,1,1,1
"79896",1,0,1,0,1,1,0
"84076",NA,NA,NA,NA,NA,NA,NA
"7086",1,1,1,1,1,1,1
"8277",NA,NA,NA,NA,NA,NA,NA
"27010",1,1,1,0,0,0,0
"7167",1,1,1,1,1,1,1
"286016",NA,NA,NA,NA,NA,NA,NA
"2582",0,0,1,1,0,1,1
"6675",1,0,1,0,0,1,1
"91373",0,0,1,0,0,1,1
"7390",1,1,1,0,0,1,1
"8170",NA,NA,NA,NA,NA,NA,NA
"6563",NA,NA,NA,NA,NA,NA,NA
"374569",NA,NA,NA,NA,NA,NA,NA
"100507855",1,0,1,1,0,1,1
"55191",1,0,1,0,0,1,1
"132",1,1,1,1,1,1,1
"97",1,0,1,0,0,1,1
"98",1,0,0,1,1,0,0
"112611",NA,NA,NA,NA,NA,NA,NA
"51005",0,0,1,0,0,1,1
"471",1,1,1,1,1,1,1
"435",0,0,1,1,0,0,1
"171425",1,1,1,0,1,0,0
"10007",1,1,1,1,1,1,1
"132789",1,0,1,0,0,1,1
"2584",1,0,1,0,0,1,1
"2585",1,0,1,0,0,1,1
"2592",0,0,1,0,1,0,1
"5471",1,0,1,0,0,1,1
"84264",NA,NA,NA,NA,NA,NA,NA
"3034",0,0,0,0,0,0,1
"144193",NA,NA,NA,NA,NA,NA,NA
"2739",1,1,1,1,1,1,1
"3613",0,1,0,1,0,1,1
"3612",1,1,1,1,1,1,1
"8776",0,0,1,0,0,1,1
"2978",NA,NA,NA,NA,NA,NA,NA
"4953",NA,NA,NA,NA,NA,NA,NA
"5214",1,1,1,1,1,1,1
"5213",0,0,1,0,0,1,1
"6569",NA,NA,NA,NA,NA,NA,NA
"10050",NA,NA,NA,NA,NA,NA,NA
"10568",1,1,0,0,1,0,1
"10786",NA,NA,NA,NA,NA,NA,NA
"10246",NA,NA,NA,NA,NA,NA,NA
"5198",1,0,1,0,0,1,1
"113675",0,0,0,1,0,0,0
"7298",1,0,1,0,0,1,1
"131669",NA,NA,NA,NA,NA,NA,NA
"5973",1,1,1,0,0,1,1
"1635",1,0,1,0,0,1,1
"286297",NA,NA,NA,NA,NA,NA,NA
"10560",NA,NA,NA,NA,NA,NA,NA
"191",1,1,1,1,1,1,1
"10768",1,1,1,0,0,1,1
"25874",1,1,0,1,1,0,0
"51660",1,0,1,1,1,1,1
"57198",1,1,0,0,0,0,1
"5205",NA,NA,NA,NA,NA,NA,NA
"23250",1,1,0,0,1,0,0
"286410",1,0,1,0,0,1,1
"5243",1,0,1,0,1,0,0
"55856",1,1,1,1,1,1,1
"7350",NA,NA,NA,NA,NA,NA,NA
"26027",0,1,0,0,0,0,1
"10058",0,0,1,1,0,1,1
"51458",NA,NA,NA,NA,NA,NA,NA
"948",1,0,0,1,0,0,0
"10928",1,0,1,0,0,1,0
"1728",0,1,0,1,0,0,1
"2946",1,1,1,1,0,1,1
"125981",NA,NA,NA,NA,NA,NA,NA
"55331",0,0,0,0,0,0,0
"340485",NA,NA,NA,NA,NA,NA,NA
"2760",1,0,1,0,1,1,0
"5660",1,1,1,1,1,1,1
"57704",1,1,0,0,1,1,0
"4759",NA,NA,NA,NA,NA,NA,NA
"10825",1,0,0,0,0,0,0
"7903",0,0,0,0,0,1,1
"5407",NA,NA,NA,NA,NA,NA,NA
"119548",NA,NA,NA,NA,NA,NA,NA
"5408",NA,NA,NA,NA,NA,NA,NA
"221955",0,0,1,0,0,1,1
"9388",0,0,0,0,0,0,0
"13",NA,NA,NA,NA,NA,NA,NA
"57104",1,0,1,1,0,0,1
"3991",1,0,1,0,0,1,1
"747",NA,NA,NA,NA,NA,NA,NA
"8513",NA,NA,NA,NA,NA,NA,NA
"5406",NA,NA,NA,NA,NA,NA,NA
"2170",0,0,0,0,0,0,0
"2171",1,1,1,1,1,1,1
"2167",0,0,0,0,0,0,0
"2172",NA,NA,NA,NA,NA,NA,NA
"646480",NA,NA,NA,NA,NA,NA,NA
"2173",NA,NA,NA,NA,NA,NA,NA
"646486",NA,NA,NA,NA,NA,NA,NA
"2169",NA,NA,NA,NA,NA,NA,NA
"6296",0,1,1,0,1,0,0
"341392",NA,NA,NA,NA,NA,NA,NA
"54988",NA,NA,NA,NA,NA,NA,NA
"123876",NA,NA,NA,NA,NA,NA,NA
"348158",NA,NA,NA,NA,NA,NA,NA
"344967",NA,NA,NA,NA,NA,NA,NA
"154141",0,0,1,1,1,1,0
"51099",0,0,0,0,0,0,0
"253558",1,1,1,0,0,1,1
"84513",NA,NA,NA,NA,NA,NA,NA
"64748",NA,NA,NA,NA,NA,NA,NA
"9890",NA,NA,NA,NA,NA,NA,NA
"9663",0,1,1,1,1,0,0
"196051",NA,NA,NA,NA,NA,NA,NA
"79948",NA,NA,NA,NA,NA,NA,NA
"23175",1,0,1,0,0,1,1
"64900",NA,NA,NA,NA,NA,NA,NA
"85465",NA,NA,NA,NA,NA,NA,NA
"122618",1,1,0,0,1,0,0
"201164",0,0,0,0,0,0,0
"23646",1,0,0,1,1,1,0
"590",0,0,0,0,0,0,0
"91012",0,0,1,0,0,0,0
"204219",NA,NA,NA,NA,NA,NA,NA
"10715",NA,NA,NA,NA,NA,NA,NA
"253782",0,0,1,1,0,1,1
"29956",1,1,0,0,0,1,1
"79603",1,0,0,0,0,1,1
"56624",NA,NA,NA,NA,NA,NA,NA
"55757",NA,NA,NA,NA,NA,NA,NA
"145173",0,0,1,0,1,0,0
"644974",NA,NA,NA,NA,NA,NA,NA
"56886",1,1,1,0,0,1,1
"152586",NA,NA,NA,NA,NA,NA,NA
"55830",0,0,1,1,1,0,1
"170384",1,1,1,0,0,0,0
"283358",NA,NA,NA,NA,NA,NA,NA
"148789",NA,NA,NA,NA,NA,NA,NA
"2526",NA,NA,NA,NA,NA,NA,NA
"84750",NA,NA,NA,NA,NA,NA,NA
"644378",NA,NA,NA,NA,NA,NA,NA
"55624",0,0,1,1,0,1,1
"83468",NA,NA,NA,NA,NA,NA,NA
"168391",NA,NA,NA,NA,NA,NA,NA
"338707",NA,NA,NA,NA,NA,NA,NA
"146664",NA,NA,NA,NA,NA,NA,NA
"360203",NA,NA,NA,NA,NA,NA,NA
"56983",1,0,1,0,1,0,1
"3703",1,0,1,0,0,1,1
"124872",NA,NA,NA,NA,NA,NA,NA
"8473",1,0,1,0,0,1,1
"8708",NA,NA,NA,NA,NA,NA,NA
"2529",0,0,0,0,0,0,0
"8702",0,0,0,1,0,1,1
"8707",NA,NA,NA,NA,NA,NA,NA
"200810",NA,NA,NA,NA,NA,NA,NA
"84752",NA,NA,NA,NA,NA,NA,NA
"201595",0,1,1,0,0,1,1
"140687",NA,NA,NA,NA,NA,NA,NA
"51228",0,0,1,0,0,1,1
"284004",NA,NA,NA,NA,NA,NA,NA
"79411",NA,NA,NA,NA,NA,NA,NA
"27090",0,0,0,1,0,1,1
"129807",NA,NA,NA,NA,NA,NA,NA
"2524",NA,NA,NA,NA,NA,NA,NA
"2528",NA,NA,NA,NA,NA,NA,NA
"2527",NA,NA,NA,NA,NA,NA,NA
"113612",0,1,1,0,1,0,1
"493869",NA,NA,NA,NA,NA,NA,NA
"64180",NA,NA,NA,NA,NA,NA,NA
"64174",0,0,0,0,0,0,0
"10728",1,1,1,1,1,1,1
"11102",1,1,1,0,0,1,1
"91179",NA,NA,NA,NA,NA,NA,NA
"10826",NA,NA,NA,NA,NA,NA,NA
"266740",NA,NA,NA,NA,NA,NA,NA
"3930",1,1,1,1,1,1,1
"4645",NA,NA,NA,NA,NA,NA,NA
"3069",0,1,1,0,0,1,1
"4864",0,1,1,0,0,1,1
"285440",NA,NA,NA,NA,NA,NA,NA
"79644",0,0,0,0,0,1,1
"1646",NA,NA,NA,NA,NA,NA,NA
"51170",1,1,1,0,1,0,0
"51144",1,1,1,1,1,1,1
"8630",NA,NA,NA,NA,NA,NA,NA
"158160",NA,NA,NA,NA,NA,NA,NA
"83401",NA,NA,NA,NA,NA,NA,NA
"64834",0,1,0,1,0,1,1
"79993",0,0,0,0,0,0,0
"401494",0,0,1,0,0,1,1
"192286",0,0,1,1,0,1,1
"201562",0,0,0,1,1,0,0
"9200",0,0,0,0,0,0,0
"51495",0,1,1,0,0,1,1
"253017",NA,NA,NA,NA,NA,NA,NA
"9524",1,1,1,1,1,1,1
"283985",NA,NA,NA,NA,NA,NA,NA
"3995",NA,NA,NA,NA,NA,NA,NA
"1155",1,1,1,1,0,1,1
"114571",NA,NA,NA,NA,NA,NA,NA
"123096",0,1,1,1,0,0,0
"57016",NA,NA,NA,NA,NA,NA,NA
"55277",NA,NA,NA,NA,NA,NA,NA
"79707",0,1,1,0,0,1,1
"64122",1,0,1,1,0,1,1
"9917",0,1,1,1,1,1,0
"79672",0,1,1,0,0,1,1
"92370",NA,NA,NA,NA,NA,NA,NA
"390928",NA,NA,NA,NA,NA,NA,NA
"93650",NA,NA,NA,NA,NA,NA,NA
"139596",1,1,0,1,0,1,1
"55066",0,1,1,0,0,1,0
"283208",NA,NA,NA,NA,NA,NA,NA
"5033",1,1,1,0,0,1,1
"8974",1,0,0,0,1,1,0
"58478",0,0,1,1,0,1,1
"55256",1,1,1,0,0,1,1
"259307",0,1,1,0,1,0,0
"81894",NA,NA,NA,NA,NA,NA,NA
"51312",NA,NA,NA,NA,NA,NA,NA
"138639",NA,NA,NA,NA,NA,NA,NA
"23203",1,1,1,1,0,1,1
"9896",1,1,1,0,1,0,1
"374462",NA,NA,NA,NA,NA,NA,NA
"163404",NA,NA,NA,NA,NA,NA,NA
"22908",1,1,1,1,1,1,1
"22876",0,1,1,0,0,1,1
"84814",NA,NA,NA,NA,NA,NA,NA
"51559",1,0,1,0,0,1,1
"29085",1,1,0,1,1,0,1
"64419",0,0,1,0,0,1,1
"145553",1,1,1,0,1,1,1
"51496",1,0,1,0,0,1,1
"8446",1,1,0,1,0,1,1
"9107",0,0,1,0,0,1,1
"23371",NA,NA,NA,NA,NA,NA,NA
"9108",NA,NA,NA,NA,NA,NA,NA
"55613",NA,NA,NA,NA,NA,NA,NA
"403313",1,1,1,0,0,0,1
"9562",1,0,1,1,0,1,0
"3705",1,0,1,0,0,1,1
"138429",NA,NA,NA,NA,NA,NA,NA
"10170",0,0,0,0,0,0,0
"9249",1,0,0,0,0,1,1
"220074",NA,NA,NA,NA,NA,NA,NA
"1733",NA,NA,NA,NA,NA,NA,NA
"1735",NA,NA,NA,NA,NA,NA,NA
"1734",NA,NA,NA,NA,NA,NA,NA
"6819",0,0,0,1,0,1,0
"27284",0,1,1,0,1,0,0
"84274",1,0,0,1,1,0,0
"4297",0,0,1,0,1,0,0
"55904",1,1,1,0,1,0,0
"55870",NA,NA,NA,NA,NA,NA,NA
"79723",0,0,0,0,0,0,0
"79813",1,1,0,1,0,0,1
"387893",1,1,1,1,0,1,1
"8085",0,0,1,0,0,1,1
"58508",0,0,1,1,0,1,1
"9869",0,0,1,0,0,1,1
"9757",0,0,1,0,0,1,1
"80854",0,0,0,0,0,0,0
"9739",0,1,1,0,0,0,1
"64754",1,0,1,0,0,1,1
"84444",0,1,0,0,1,1,0
"10919",0,1,1,1,0,1,1
"64324",0,1,1,1,0,1,0
"23067",1,1,0,0,0,0,1
"6839",0,1,0,0,0,1,1
"83852",NA,NA,NA,NA,NA,NA,NA
"54904",NA,NA,NA,NA,NA,NA,NA
"84787",0,0,1,1,0,0,0
"29072",1,1,0,0,0,0,1
"7468",NA,NA,NA,NA,NA,NA,NA
"51111",0,0,0,0,0,0,0
"6419",0,1,1,1,1,1,0
"90701",1,1,0,1,0,1,1
"9789",1,1,1,1,1,1,1
"23478",1,1,1,1,1,1,1
"28972",1,1,1,0,0,1,1
"60559",1,1,1,1,1,1,1
"57171",1,1,1,0,0,1,1
"4249",0,1,0,0,0,1,0
"25834",NA,NA,NA,NA,NA,NA,NA
"137902",NA,NA,NA,NA,NA,NA,NA
"7837",NA,NA,NA,NA,NA,NA,NA
"9677",0,0,0,0,0,1,0
"23262",1,0,0,0,0,1,1
"26007",1,0,1,0,0,1,1
"158584",NA,NA,NA,NA,NA,NA,NA
"283209",0,0,1,0,1,1,0
"23491",NA,NA,NA,NA,NA,NA,NA
"221223",NA,NA,NA,NA,NA,NA,NA
"1208",NA,NA,NA,NA,NA,NA,NA
"55244",NA,NA,NA,NA,NA,NA,NA
"146802",NA,NA,NA,NA,NA,NA,NA
"345274",NA,NA,NA,NA,NA,NA,NA
"116085",NA,NA,NA,NA,NA,NA,NA
"123688",NA,NA,NA,NA,NA,NA,NA
"56898",1,0,0,0,0,0,1
"51171",NA,NA,NA,NA,NA,NA,NA
"84869",1,0,1,0,1,0,0
"51741",1,1,1,0,0,1,1
"10202",0,0,0,0,0,0,0
"1487",0,0,0,0,0,0,0
"93517",NA,NA,NA,NA,NA,NA,NA
"121214",NA,NA,NA,NA,NA,NA,NA
"10553",0,1,1,1,0,1,1
"100288072",NA,NA,NA,NA,NA,NA,NA
"374875",NA,NA,NA,NA,NA,NA,NA
"441282",NA,NA,NA,NA,NA,NA,NA
"340811",NA,NA,NA,NA,NA,NA,NA
"133121",NA,NA,NA,NA,NA,NA,NA
"85007",1,0,1,0,0,0,1
"250",NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA
"123264",NA,NA,NA,NA,NA,NA,NA
"200931",NA,NA,NA,NA,NA,NA,NA
"10941",NA,NA,NA,NA,NA,NA,NA
"79799",NA,NA,NA,NA,NA,NA,NA
"10476",1,1,1,1,1,1,1
"518",NA,NA,NA,NA,NA,NA,NA
"498",1,1,1,1,1,1,1
"516",NA,NA,NA,NA,NA,NA,NA
"522",1,1,1,1,1,1,1
"515",1,1,1,1,1,1,1
"9551",0,0,0,1,0,1,1
"27109",NA,NA,NA,NA,NA,NA,NA
"267020",NA,NA,NA,NA,NA,NA,NA
"509",1,1,1,1,1,1,1
"513",1,1,0,1,1,1,1
"514",NA,NA,NA,NA,NA,NA,NA
"517",NA,NA,NA,NA,NA,NA,NA
"521",1,1,1,1,1,1,1
"10632",1,1,1,1,1,1,1
"506",1,0,0,1,0,0,1
"539",1,1,1,1,1,1,1
"29796",1,1,1,1,1,1,1
"4519",1,0,1,0,0,1,0
"1537",1,1,1,1,1,1,1
"7381",0,0,0,0,0,0,0
"10975",0,0,1,1,0,0,0
"27089",1,1,1,1,1,1,1
"7384",1,1,1,1,1,1,1
"7386",1,1,1,1,1,1,1
"7388",1,1,1,0,0,1,1
"7385",1,1,1,1,1,1,1
"9481",NA,NA,NA,NA,NA,NA,NA
"9016",NA,NA,NA,NA,NA,NA,NA
"7351",0,0,0,0,1,0,0
"7352",NA,NA,NA,NA,NA,NA,NA
"4535",0,1,1,0,0,1,1
"4540",0,1,1,0,0,1,1
"4541",0,0,0,0,0,1,1
"4729",1,1,1,1,1,1,1
"126328",1,1,1,1,1,1,1
"4717",1,1,0,1,1,0,0
"4719",1,1,1,1,1,1,1
"7991",NA,NA,NA,NA,NA,NA,NA
"4539",NA,NA,NA,NA,NA,NA,NA
"4707",1,1,1,1,1,1,1
"4705",1,1,1,1,1,1,1
"4536",1,1,1,1,0,1,1
"4713",1,1,0,0,1,0,0
"4538",1,0,1,0,1,0,1
"4731",1,0,0,1,0,1,1
"4695",1,1,1,1,1,1,1
"4708",1,0,0,0,0,1,1
"4711",1,1,0,1,0,1,1
"4723",1,1,1,1,1,1,1
"4706",0,0,0,0,0,0,0
"4701",1,1,0,1,1,1,1
"4724",1,1,1,1,1,1,1
"4718",1,1,0,1,1,1,1
"4698",1,1,1,1,1,1,1
"4537",1,1,1,0,0,1,0
"55967",1,1,1,1,1,1,1
"4728",1,1,1,1,1,1,1
"4715",1,1,1,1,1,1,1
"51079",1,1,1,1,1,1,1
"54539",1,1,1,0,1,0,0
"4714",0,1,1,0,0,1,1
"4720",1,1,1,1,1,1,1
"4712",1,0,1,0,1,1,0
"4722",1,1,1,1,1,1,1
"4704",1,1,1,1,1,1,1
"4694",0,0,1,1,0,0,0
"4702",1,1,1,1,1,1,1
"4709",1,1,1,1,1,1,1
"4725",1,1,1,1,1,1,1
"4710",1,1,1,1,1,1,1
"4697",1,1,1,1,1,1,1
"4726",1,1,0,1,1,1,1
"4716",1,1,1,1,1,1,1
"374291",1,1,1,0,1,0,1
"1345",1,1,1,0,1,0,1
"1340",1,1,1,1,1,1,1
"1329",1,1,1,1,1,1,1
"4514",1,1,0,0,0,1,1
"4513",1,1,1,1,1,1,1
"1327",1,1,1,1,1,1,1
"1351",0,1,1,0,0,1,1
"1349",NA,NA,NA,NA,NA,NA,NA
"1346",NA,NA,NA,NA,NA,NA,NA
"1347",1,1,1,1,1,1,1
"9377",1,1,1,1,1,1,1
"1337",1,1,1,1,0,1,1
"4512",1,1,0,0,0,1,1
"1350",1,1,1,1,1,1,1
"9167",1,1,1,1,1,0,1
"125965",NA,NA,NA,NA,NA,NA,NA
"1339",NA,NA,NA,NA,NA,NA,NA
"170712",NA,NA,NA,NA,NA,NA,NA
"84701",NA,NA,NA,NA,NA,NA,NA
"4363",1,1,1,0,0,1,1
"146712",NA,NA,NA,NA,NA,NA,NA
"10554",1,0,1,0,1,1,0
"240",1,0,0,1,1,0,0
"534",NA,NA,NA,NA,NA,NA,NA
"8705",NA,NA,NA,NA,NA,NA,NA
"570",NA,NA,NA,NA,NA,NA,NA
"622",1,1,1,1,0,1,1
"57818",NA,NA,NA,NA,NA,NA,NA
"8647",NA,NA,NA,NA,NA,NA,NA
"124935",1,0,0,0,0,0,0
"6531",NA,NA,NA,NA,NA,NA,NA
"11000",1,0,1,1,0,1,1
"4758",0,1,1,0,1,0,1
"2618",1,1,1,1,1,1,1
"2629",0,0,1,1,0,1,1
"7264",1,1,1,1,0,1,1
"284098",NA,NA,NA,NA,NA,NA,NA
"3163",1,1,1,1,1,1,1
"7923",0,1,1,0,1,0,0
"10723",0,1,0,0,1,0,1
"201288",NA,NA,NA,NA,NA,NA,NA
"645740",NA,NA,NA,NA,NA,NA,NA
"1589",NA,NA,NA,NA,NA,NA,NA
"9651",1,0,1,1,1,0,0
"8396",0,1,0,1,0,1,0
"8399",NA,NA,NA,NA,NA,NA,NA
"64711",NA,NA,NA,NA,NA,NA,NA
"7366",NA,NA,NA,NA,NA,NA,NA
"9374",NA,NA,NA,NA,NA,NA,NA
"93100",0,0,1,0,0,0,1
"55229",0,0,1,0,0,1,1
"26063",0,0,0,0,0,1,1
"2880",NA,NA,NA,NA,NA,NA,NA
"65263",NA,NA,NA,NA,NA,NA,NA
"8781",NA,NA,NA,NA,NA,NA,NA
"31",1,0,1,0,0,1,1
"55750",1,1,1,1,1,1,1
"8644",1,0,1,0,0,1,0
"1066",0,0,1,0,1,1,0
"5446",0,0,0,0,1,0,0
"4905",1,1,1,1,1,1,1
"4700",1,1,0,1,1,1,1
"4696",1,1,1,0,1,1,0
"341947",NA,NA,NA,NA,NA,NA,NA
